Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66c5cbe5563b75f0f92420b6,6653b8cab9ac285852a84c17,APPROVED,Not Applicable,2024-08-21T11:13:49.609000Z,2024-08-21T11:43:37.390000Z,2024-08-23T08:40:50.674000Z,2024-08-21T11:44:26.620490Z,1788,CLMUZH2,147,34,Female,White,Brazil,United States,Brazil,Portuguese,No,Other
66c5cc31f302a9b1169b42ab,659155e75044ad5258a5b90e,APPROVED,Not Applicable,2024-08-21T11:16:14.128000Z,2024-08-21T11:53:37.473000Z,2024-08-23T08:40:45.320000Z,2024-08-21T11:54:42.418256Z,2244,CLMUZNH2,706,39,Male,Black,Ghana,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c5cc7450f743d4f85f936a,5d2e1c52c3651500159f0a69,APPROVED,Not Applicable,2024-08-21T11:25:30.552000Z,2024-08-21T12:08:16.155000Z,2024-08-23T08:40:45.575000Z,2024-08-21T12:08:17.144574Z,2566,CLMUZNH2,2599,40,Male,Asian,Thailand,United States,Thailand,English,No,Full-Time
66c5cc78c1dc86f3fad78d65,62e19208352cd518d7b2f085,APPROVED,Not Applicable,2024-08-21T11:16:08.590000Z,2024-08-21T12:03:51.872000Z,2024-08-23T08:40:45.827000Z,2024-08-21T12:05:36.921442Z,2864,CLMUZNH2,2085,35,Male,White,United States,United States,United States,English,No,Full-Time
66c5ccca563074fa40d45d87,5ee6706034f12e3d82d952aa,APPROVED,Not Applicable,2024-08-21T11:17:35.146000Z,2024-08-21T11:47:21.182000Z,2024-08-23T08:40:46.085000Z,2024-08-21T11:47:21.810629Z,1787,CLMUZNH2,5638,28,Male,Asian,United States,United States,United States,English,No,Full-Time
66c5ccdb589d3ea662c6ef54,62ed3b25068457fa24a6a44e,APPROVED,Not Applicable,2024-08-21T11:17:54.916000Z,2024-08-21T12:10:16.361000Z,2024-08-23T08:40:46.336000Z,2024-08-21T12:10:17.594915Z,3142,CLMUZNH2,125,33,Male,Black,United States,United States,United States,English,No,Part-Time
66c5cd43e76b22e42d76d03e,65578c0b6e15c3f1a9f3dec9,APPROVED,Not Applicable,2024-08-21T11:23:59.831000Z,2024-08-21T11:55:28.092000Z,2024-08-23T08:40:50.928000Z,2024-08-21T11:55:52.985968Z,1889,CLMUZNH2,287,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66c5cd64fb09db25f2454154,6697db2be134bd44b38d9b95,APPROVED,Not Applicable,2024-08-21T11:20:17.805000Z,2024-08-21T11:57:57.228000Z,2024-08-23T08:40:46.621000Z,2024-08-21T11:57:57.836136Z,2260,CLMUZNH2,19,33,Male,Black,Ghana,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c5cd9efe4c52f630a9e097,665c94c89f94a044143b174c,APPROVED,Not Applicable,2024-08-21T11:21:11.229000Z,2024-08-21T11:52:25.514000Z,2024-08-23T08:40:51.179000Z,2024-08-21T11:53:28.710684Z,1875,CLMUZNH2,92,33,Female,White,United States,United States,United States,English,No,Full-Time
66c5cdcf0fcc93934a4641a5,5aadf89afb22320001baa4e9,APPROVED,Not Applicable,2024-08-21T11:21:58.531000Z,2024-08-21T11:52:06.647000Z,2024-08-23T08:40:51.437000Z,2024-08-21T11:53:11.942150Z,1809,CLMUZNH2,269,31,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Part-Time
66c5ce185a7d7a6e004107c7,62dc587c7c0dd665ce6c299c,APPROVED,Not Applicable,2024-08-21T11:23:14.663000Z,2024-08-21T11:55:33.628000Z,2024-08-23T08:40:46.878000Z,2024-08-21T11:56:00.605316Z,1939,CLMUZNH2,1994,29,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66c5ce342bc58189e63e2b06,6632f22b00098536590e0465,APPROVED,Not Applicable,2024-08-21T11:23:38.078000Z,2024-08-21T11:54:58.986000Z,2024-08-23T08:40:51.694000Z,2024-08-21T11:55:38.259500Z,1881,CLMUZNH2,48,40,Female,Asian,China,United States,China,Chinese,Yes,DATA_EXPIRED
66c5cec1e344a2c105de9726,66c0b1c4ed86db2567fc71a6,APPROVED,Not Applicable,2024-08-21T11:25:59.815000Z,2024-08-21T11:57:05.228000Z,2024-08-23T08:40:47.147000Z,2024-08-21T11:57:06.118271Z,1866,CLMUZNH2,9,37,Male,Mixed,United States,United States,United States,English,No,Full-Time
66c5cf991b208d27adef33bd,669a5892797b9d3019e9022e,APPROVED,Not Applicable,2024-08-21T11:29:33.949000Z,2024-08-21T12:01:01.855000Z,2024-08-23T08:40:47.407000Z,2024-08-21T12:01:03.572385Z,1888,clmuznh2,11,38,Male,Asian,Vietnam,United States,Vietnam,Vietnamese,No,Unemployed (and job seeking)
66c5cfd4e36caf457247d6b9,5dd671942b033b5ec8bc97b4,APPROVED,Not Applicable,2024-08-21T11:38:26.961000Z,2024-08-21T12:37:15.940000Z,2024-08-23T08:40:47.659000Z,2024-08-21T12:37:18.165903Z,3529,CLMUZNH2,2276,25,Male,White,Panama,United States,Panama,Spanish,No,Full-Time
66c5cfe37458825117d96ea1,66a4b9ad52185ff9c78d83e1,APPROVED,Not Applicable,2024-08-21T11:30:53.261000Z,2024-08-21T12:07:24.320000Z,2024-08-23T08:40:47.926000Z,2024-08-21T12:07:26.232078Z,2192,CLMUZNH2,44,28,Male,Mixed,Ghana,United States,United States,English,Yes,DATA_EXPIRED
66c5d0202c7306c357659d10,6644ac821d17b413ffa905c9,APPROVED,Not Applicable,2024-08-21T11:31:49.980000Z,2024-08-21T12:02:38.527000Z,2024-08-23T08:40:51.969000Z,2024-08-21T12:05:02.739732Z,1849,CLMUZNH2,135,33,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
